ID,Word 1,Word 2,PoS,participant 1,participant 2,participant 3,participant 4,participant 5,participant 6,participant 7,participant 8,participant 9,participant 10
1,bras,muscle,nouns,4,3,3,2,4,1,2,2,2,3
2,démocratie,monarchie,nouns,2,4,3,3,2,2,3,3,1,4
3,toit,plafond,nouns,5,5,4,4,5,2,5,5,4,5
4,ami,professeur,nouns,0,3,0,1,3,0,2,1,1,3
5,main,pied,nouns,2,3,3,2,3,2,4,2,1,3
6,biographie,fiction,nouns,1,3,2,3,2,3,4,1,1,3
7,disque,ordinateur,nouns,3,3,2,2,4,2,2,1,2,2
8,escrime,gymnastique,nouns,1,3,2,3,4,3,3,2,1,3
9,banque,siège,nouns,0,4,1,3,4,3,0,0,1,3
10,empereur,constitution,nouns,0,3,1,2,2,2,0,1,0,1
11,coup,ruse,nouns,3,4,3,4,4,5,5,4,5,5
12,taille,magnitude,nouns,5,3,2,5,6,5,4,3,5,2
13,balle,gant,nouns,0,3,3,2,4,0,0,0,0,2
14,mouton,bétail,nouns,4,5,4,4,5,1,3,5,5,4
15,lézard,crocodile,nouns,1,4,3,4,4,4,4,3,2,5
16,ami,invité,nouns,0,4,2,3,4,3,4,2,3,4
17,date,anniversaire,nouns,1,5,4,2,4,1,3,4,2,3
18,voiture,taxi,nouns,4,4,4,4,5,2,5,4,3,5
19,os,dent,nouns,3,4,0,2,5,2,4,4,2,3
20,parapluie,radiateur,nouns,0,2,0,0,0,0,0,0,0,3
21,frustration,colère,nouns,1,4,4,4,5,2,4,4,4,5
22,actif,action,nouns,4,5,5,5,6,2,0,6,1,6
23,action,cours,nouns,1,5,4,3,0,1,0,6,4,2
24,célébration,cérémonie,nouns,5,6,5,6,6,6,4,4,5,6
25,dissertation,devoir,nouns,2,6,4,5,5,4,5,2,4,5
26,circumnavigation,bagage,nouns,1,4,0,1,1,0,0,0,1,2
27,attroupement,foule,nouns,6,6,5,5,6,5,6,6,6,6
28,épaule,tête,nouns,1,4,4,2,4,3,3,2,1,3
29,archer,éclaireur,nouns,0,4,1,1,4,0,2,5,1,4
30,mythe,satire,nouns,0,4,1,2,4,2,0,2,1,4
31,vainqueur,candidat,nouns,1,4,2,3,4,3,3,2,1,3
32,combat,belligérance,nouns,3,6,5,6,4,4,6,2,4,6
33,porte,portail,nouns,5,6,5,4,6,3,4,5,5,5
34,bowling,lanceur,nouns,1,4,2,2,3,0,0,1,0,3
35,circonstance,situation,nouns,5,5,5,6,6,4,5,6,5,5
36,convocation,rassemblement,nouns,2,4,3,2,5,4,3,5,1,4
37,soin,attention,nouns,3,6,5,3,5,5,6,6,5,6
38,gravité,météore,nouns,0,4,2,2,1,0,1,1,0,3
39,dîner,poulet,nouns,0,3,2,0,2,1,3,1,2,3
40,capteur,radiateur,nouns,0,4,1,1,0,0,1,1,0,2
41,pop-corn,cinéma,nouns,0,4,2,2,3,0,1,2,0,4
42,maison,appartement,nouns,5,5,3,3,4,2,5,5,3,5
43,centime,femme,nouns,0,0,0,0,1,0,0,0,0,0
44,mot,littérature,nouns,2,3,3,1,5,1,1,1,2,4
45,balai,poussière,nouns,0,3,3,2,4,1,1,1,1,4
46,snowboard,ski,nouns,3,5,2,4,4,4,5,4,4,5
47,fils,père,nouns,2,5,2,3,4,1,3,2,1,4
48,graine,moutarde,nouns,0,5,3,2,5,3,1,1,3,4
49,chat,lapin,nouns,1,3,1,2,2,1,3,1,1,4
50,biologiste,microscope,nouns,1,4,3,3,3,0,1,2,1,3
51,badge,verre,nouns,0,2,0,2,0,0,0,0,0,1
52,potin,nouvelle,nouns,3,6,5,5,6,4,4,5,4,5
53,dé,cube,nouns,4,5,4,4,6,4,5,5,3,6
54,tour,cloche,nouns,0,4,0,2,3,0,1,2,1,3
55,matériel,étui,nouns,0,3,2,2,1,1,2,2,2,4
56,dieu,prêtre,nouns,1,4,1,3,3,1,1,3,1,3
57,rivière,vallée,nouns,0,4,1,3,4,0,2,2,1,5
58,automobile,voiture,nouns,6,6,6,6,6,6,6,6,6,6
59,mère,épouse,nouns,3,5,3,4,4,5,2,2,1,4
60,arbre,érable,nouns,5,5,3,5,5,5,5,5,4,5
61,riz,garçon,nouns,0,0,0,1,0,0,0,0,0,0
62,type,tombeur,nouns,0,4,1,3,1,4,2,1,1,3
63,port,emballage,nouns,1,4,0,2,2,0,0,0,0,0
64,intelligence,logique,nouns,1,4,4,4,5,4,4,4,4,5
65,journée,matin,nouns,1,4,3,3,4,5,3,3,2,4
66,arme,casque,nouns,0,4,2,2,3,1,2,0,2,3
67,couvent,douche,nouns,0,2,0,0,0,0,0,0,0,0
68,gagnant,présence,nouns,0,2,0,1,0,0,0,0,0,2
69,télévision,cinéma,nouns,3,5,3,2,5,2,4,3,2,4
70,steak,viande,nouns,5,6,3,5,5,5,5,5,5,5
71,piston,moteur,nouns,1,5,2,3,4,4,2,4,3,4
72,virus,sang,nouns,0,5,2,2,4,2,1,1,1,3
73,homme,sentinelle,nouns,1,4,1,2,4,4,2,1,5,3
74,mouton,agneau,nouns,6,5,6,5,4,4,4,4,5,5
75,voiture,autoroute,nouns,2,4,3,2,3,0,2,3,1,3
76,persévérance,force,nouns,1,4,3,5,2,4,4,4,3,5
77,entropie,information,nouns,0,4,0,3,4,2,1,0,2,2
78,bruit,cliquetis,nouns,4,6,3,5,5,5,3,4,5,5
79,argent,salaire,nouns,4,6,5,4,5,4,4,3,5,5
80,enseignant,assistant,nouns,1,4,2,2,2,3,2,1,4,4
81,auteur,créateur,nouns,6,6,5,5,6,3,6,4,5,5
82,papier peint,arrière-plan,nouns,3,4,0,4,5,0,4,5,5,4
83,bière,champagne,nouns,2,3,2,4,4,3,4,3,4,3
84,aptitude,compétence,nouns,6,6,6,6,6,6,6,6,6,6
85,main,poignet,nouns,2,4,4,3,4,3,3,3,3,4
86,chapitre,choix,nouns,0,4,0,1,1,2,0,0,0,0
87,août,mois,nouns,2,5,5,3,3,3,4,3,2,3
88,cours,estomac,nouns,0,2,0,0,0,0,0,0,0,0
89,moine,croix,nouns,1,4,2,2,3,0,0,3,1,3
90,étoile,intensité,nouns,0,4,3,1,2,1,0,0,0,2
91,vision,perception,nouns,5,5,5,5,5,6,4,5,5,5
92,vin,brandy,nouns,4,5,2,4,4,3,4,3,5,3
93,pièce,bain,nouns,1,3,1,1,1,0,1,2,2,3
94,couloir,corridor,nouns,6,6,3,5,6,4,6,6,6,6
95,orange,agrume,nouns,3,5,4,5,4,4,5,5,5,4
96,église,chœur,nouns,1,5,3,2,4,3,1,2,3,3
97,habit,tiroir,nouns,0,3,2,1,2,0,1,1,1,3
98,jour,aube,nouns,5,6,3,5,4,5,4,2,4,3
99,bête,animal,nouns,6,5,4,6,6,4,5,6,6,6
100,pot,bouteille,nouns,1,5,2,4,4,2,2,3,3,5
101,rivière,mer,nouns,2,5,2,2,3,2,4,2,2,4
102,fait,perspicacité,nouns,0,4,2,0,0,1,0,0,0,3
103,tribunal,justice,nouns,3,5,4,4,5,3,3,2,3,5
104,passé,antécédent,nouns,6,6,4,5,5,4,5,5,5,4
105,globalisation,visa,nouns,1,3,2,1,1,0,1,1,0,2
106,monstre,démon,nouns,4,5,5,4,5,5,4,5,5,5
107,avocat,banquier,nouns,1,3,2,2,3,1,2,1,0,3
108,cuillère,tasse,nouns,1,4,2,2,3,1,2,1,1,2
109,seconde,minute,nouns,3,4,3,4,3,3,5,2,2,3
110,bonheur,tristesse,nouns,1,1,3,2,2,2,4,2,1,1
111,galaxie,astronome,nouns,1,4,3,2,4,0,1,1,1,2
112,ouvrier,appareil photo,nouns,0,1,0,0,0,0,0,0,0,0
113,rein,organe,nouns,5,5,4,4,4,4,4,3,4,5
114,football,football américain,nouns,2,5,5,5,4,4,5,4,4,4
115,mec,fille,nouns,0,2,3,1,3,1,5,2,1,3
116,garçon,frère,nouns,1,4,2,3,4,3,3,2,2,3
117,échange,remplacement,nouns,4,6,6,6,6,6,5,6,4,5
118,poète,journaliste,nouns,0,3,1,2,2,1,3,1,1,4
119,reste,différence,nouns,2,3,4,2,3,4,3,2,5,2
120,vache,chèvre,nouns,1,3,3,3,2,2,4,2,2,4
121,parlement,congrès,nouns,4,5,4,4,4,4,4,4,5,3
